Provider,Cost,Latency,Throughput,Reliability,SecurityScore,Sustainability
AWS,0.1,20,10,99.99,9.5,85
Azure,0.08,22,9,99.98,8.5,92
Google Cloud,0.09,18,12,99.95,9.0,98
IBM Cloud,0.12,15,8,99.99,10.0,80
Oracle Cloud,0.07,25,15,99.9,8.0,70
DigitalOcean,0.05,30,5,99.9,7.0,60
Linode,0.05,35,4,99.9,7.5,65
Vultr,0.06,28,6,99.95,7.5,70
Alibaba Cloud,0.08,40,10,99.99,8.5,50
Tencent Cloud,0.07,45,11,99.95,8.0,45
Scaleway,0.06,20,7,99.9,8.0,95
Heroku,0.08,15,8,99.95,8.5,75
salesforce,0.09,18,9,99.98,9.0,85